,Unnamed: 0,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1335,1335,13851452,99%,0,226.0,226.0,1,0,2,39.99027,116.32977,0,1,2,1.0,1,1.0,0,290.00,1,0.00,1,0,0,0,259,4,0,2016-07-26,90.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0,0,0,0,221,67,154,0,0.12
1336,1336,13854447,,0,1.0,1.0,1,1,3,40.00149,116.57534,0,2,5,1.0,1,4.0,2,117.00,1,155.00,1,30,60,90,365,4,0,2016-07-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,2,0,0,1,0,0,1,0.12
1338,1338,13856523,100%,0,3.0,3.0,1,0,6,40.38428,116.55898,0,1,4,1.0,1,2.0,0,697.00,2,100.00,1,29,59,89,89,4,0,2016-10-05,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,3,0,3,0,0.13
1339,1339,13872422,99%,0,226.0,226.0,1,0,2,39.99034,116.3378,0,0,4,1.0,2,2.0,0,788.00,1,0.00,1,4,34,64,336,5,0,2016-08-07,88.0,9.0,8.0,10.0,10.0,10.0,9.0,0,0,0,0,0,221,67,154,0,0.15
1340,1340,13873843,99%,0,226.0,226.0,1,0,2,39.99197,116.33501,0,0,8,2.0,4,4.0,0,"1,487.00",1,0.00,1,17,43,73,345,15,2,2016-08-08,92.0,9.0,9.0,9.0,10.0,10.0,9.0,0,0,0,0,0,221,67,154,0,0.44
1342,1342,13875082,100%,0,1.0,1.0,1,0,3,40.00224,116.47926,1,1,1,1.0,1,1.0,0,200.00,1,0.00,3,0,0,13,13,5,0,2016-07-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,2,0,0,1,0,1,0,0.15
1344,1344,13885250,100%,1,1.0,1.0,1,1,11,39.76277,116.32016000000002,0,1,2,1.0,1,1.0,0,166.00,1,0.00,1,29,59,89,179,59,15,2016-08-05,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,2,0,0,1,0,1,0,1.73
1345,1345,13888473,100%,0,1.0,1.0,1,0,3,39.90082,116.48446,0,0,4,1.0,1,2.0,0,290.00,1,0.00,3,13,13,13,269,81,18,2016-07-20,97.0,10.0,9.0,10.0,10.0,9.0,10.0,0,0,1,0,0,1,1,0,0,2.35
1346,1346,13899805,100%,0,30.0,30.0,1,1,2,40.00978,116.3462,0,0,4,1.0,1,2.0,0,401.00,2,50.00,5,27,57,87,362,7,3,2016-07-18,91.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0,0,0,0,20,20,0,0,0.2
1347,1347,13900290,,0,1.0,1.0,1,0,9,39.88044,116.29946,0,0,5,1.0,1,2.0,0,401.00,1,0.00,1,30,60,90,365,1,1,2018-09-22,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,1,1,0,0,0.12
