,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2,Distance,subwayDistance
1246,15077027,100.0,0,3,3,1,1,40.07227,116.34366000000001,0,2,1.0,1,1,110,1,50,1,30,60,90,90,27,13,682,96,10,10,10,10,10,10,1,0,0,2,0,2,0,1.18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,16.429000000000002,0.662
1247,15077198,100.0,0,1,1,1,0,39.72994,116.20903,0,16,4.0,5,7,3128,1,0,1,28,58,88,363,2,1,613,80,10,6,10,10,10,10,1,0,0,1,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,27.363000000000003,2.185
1248,15080504,100.0,0,20,20,1,1,39.910990000000005,116.46976000000001,1,1,1.0,1,1,111,1,0,1,30,60,90,91,3,1,955,93,10,10,10,10,10,10,0,0,0,16,1,3,12,0.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.664,0.595
1249,15081382,100.0,0,9,9,1,1,39.95856,116.44039,1,2,1.0,1,1,201,1,0,1,19,49,79,260,51,10,883,95,9,9,10,10,9,9,1,0,0,8,1,7,0,1.73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.9639999999999995,0.655
1250,15087678,99.0,1,10,10,1,1,39.9835,116.41193,0,2,1.0,1,1,242,1,50,1,21,21,21,21,51,40,965,94,10,10,10,10,10,10,1,0,0,10,0,6,4,1.58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6.11,0.649
1251,15087897,100.0,1,2,2,1,1,39.906009999999995,116.46643999999999,0,1,1.0,1,1,201,1,0,1,10,16,16,278,85,28,971,99,10,10,10,10,10,10,1,0,0,2,1,1,0,2.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,6.6,0.522
1252,15088888,100.0,0,26,26,1,1,39.92418,116.58568999999999,1,2,1.0,1,1,401,1,50,1,30,60,90,365,4,1,971,100,10,10,10,10,10,10,1,0,0,25,23,2,0,0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16.218,0.633
1253,15090259,100.0,0,10,10,1,1,39.88684,116.52803999999999,0,1,1.0,1,1,118,1,0,1,30,60,90,365,15,4,947,97,10,10,10,10,10,10,0,0,0,8,2,5,1,0.47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,12.269,2.1
1254,15092439,100.0,1,3,3,1,1,40.001020000000004,116.34818,0,4,1.0,2,2,387,4,80,1,16,42,72,85,17,3,944,98,10,10,10,10,10,10,1,0,0,3,1,2,0,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,8.874,0.383
1255,15092531,100.0,0,3,3,1,1,39.91447,116.4312,0,4,1.0,2,2,595,1,0,1,27,54,84,359,10,5,967,96,10,10,10,10,10,10,0,0,0,3,1,2,0,0.31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3.489,0.736
