id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2,Distance
22772042,100,1,10,10,1,0,39.9581,116.37794,0,3,1,2,2,595,2,80,2,15,32,59,84,75,50,487,99,10,10,10,10,10,10,0,0,0,8,8,0,0,4.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.471
22776320,100,1,5,5,1,1,39.92349,116.41374,1,2,1.5,1,1,477,2,100,2,26,55,85,86,34,18,488,99,10,10,10,10,10,10,1,0,0,5,1,4,0,2.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1.704
22778085,100,1,5,5,1,1,39.92357,116.41395,1,2,1.5,1,1,477,2,100,2,25,55,85,86,51,22,486,98,10,10,10,10,10,10,1,0,0,5,1,4,0,3.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1.716
22779951,100,0,1,1,1,0,39.90613,116.44598,0,2,1,1,1,380,1,0,1,30,60,90,365,1,0,386,80,10,10,10,10,10,10,0,0,0,1,0,1,0,0.08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.046
22781131,100,0,12,12,1,1,39.75892,116.58379,1,6,2,3,3,601,1,50,1,30,60,90,365,3,2,415,100,10,10,10,10,9,10,0,0,0,10,10,0,0,0.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,24.896
22781561,100,0,12,12,1,1,39.76041,116.58399,1,6,2,3,3,490,1,0,1,30,60,90,365,10,8,447,94,10,10,10,10,9,10,1,0,0,10,10,0,0,0.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,24.781
22783668,90,1,2,2,1,0,39.9752,116.30525,0,2,1,1,1,173,1,0,2,0,0,0,0,17,11,462,96,10,10,10,10,10,10,0,0,0,2,0,2,0,1.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9.2
22783887,100,0,12,12,1,1,39.77269,116.58981,1,2,1,1,1,290,1,50,1,30,60,90,365,1,1,17,100,10,10,10,10,8,6,1,0,0,10,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,24.097
22786498,90,0,19,19,1,1,39.76386,116.34659,0,3,1,1,1,166,1,0,1,26,56,86,361,2,2,357,90,10,10,10,10,8,10,1,0,0,19,6,13,0,0.17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,18.941
22786530,90,0,19,19,1,1,39.76262,116.34824,0,3,1,1,1,166,1,0,1,26,56,86,361,1,0,373,100,10,8,10,10,10,10,1,0,0,19,6,13,0,0.08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,19.045
22786540,90,0,19,19,1,1,39.76275,116.34829,0,2,1,1,1,145,1,0,1,26,56,86,361,2,2,279,90,9,10,10,10,10,9,1,0,0,19,6,13,0,0.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,19.03
22786608,90,0,19,19,1,1,39.76257,116.34836,0,2,1,1,1,145,1,0,1,26,56,86,361,6,4,411,100,10,10,10,10,10,10,1,0,0,19,6,13,0,0.44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,19.048
