,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
2201,18202988,100.0,0,3,3,1,0,40.01144,116.59614,1,4,1.0,1,2,1388,1,0,1,30,60,90,365,2,1,646.0,90,10,10,10,10,10,9,1,0,0,3,3,0,0,0.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2202,18202993,100.0,0,13,13,1,0,39.97074,116.34089,1,1,3.0,1,1,138,1,2000,2,0,0,0,0,30,3,761.0,98,10,10,10,10,10,10,0,0,0,10,0,3,7,1.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2203,18203858,99.0,0,226,226,1,0,39.97587,116.34798,1,12,2.0,6,6,1888,1,0,1,11,35,65,337,6,2,669.0,100,10,10,10,10,10,10,0,0,0,221,67,154,0,0.27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2204,18205021,100.0,0,3,3,1,0,39.93511,116.43,0,6,2.0,3,2,2503,1,0,1,29,59,89,364,3,0,682.0,100,9,9,9,10,9,9,0,0,0,3,1,2,0,0.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2205,18208284,40.0,0,2,2,1,1,39.92316,116.45801000000002,0,4,1.0,2,2,635,1,0,1,0,0,0,0,35,4,740.0,91,10,9,10,10,10,9,0,0,0,2,2,0,0,1.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2206,18212694,100.0,0,2,2,1,0,40.3859,116.58746,0,10,4.0,4,4,2686,1,0,1,28,58,88,363,14,0,702.0,98,10,10,10,10,10,9,1,0,0,2,2,0,0,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2207,18214207,89.0,0,18,18,1,0,39.89158,116.34678,0,4,1.0,1,2,587,2,50,1,27,57,87,362,1,0,504.0,100,10,10,10,10,10,8,1,0,0,14,14,0,0,0.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2208,18215094,100.0,1,2,2,1,1,39.92702,116.50575,1,2,1.0,1,1,207,1,0,1,0,10,40,131,49,15,762.0,99,10,10,10,10,10,10,1,0,0,1,0,1,0,1.93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2209,18217880,96.53,0,2,2,1,0,39.9377,116.38974,1,1,1.0,1,1,297,1,0,1,0,0,0,0,2,0,744.0,100,10,10,10,10,9,10,1,0,0,2,1,0,1,0.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2210,18218984,100.0,1,3,3,1,1,40.02111,116.28631,0,3,1.0,1,2,366,1,0,1,4,5,35,310,56,34,756.0,99,10,10,10,10,10,10,1,0,0,1,1,0,0,2.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2211,18222384,96.53,0,1,1,1,1,39.85806,116.28748,0,2,1.0,1,1,138,1,0,1,0,0,0,0,4,0,737.0,100,10,10,10,10,10,10,0,0,0,1,0,1,0,0.16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2212,18223410,100.0,0,18,18,1,0,39.93258,116.40928,0,3,1.0,1,2,297,2,80,3,12,23,28,29,29,11,683.0,95,10,10,10,10,10,9,0,0,0,18,16,2,0,1.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2213,18223460,96.53,0,1,1,1,1,39.92485,116.51694,0,2,2.0,1,1,221,1,0,1,0,0,0,0,13,0,721.0,98,10,10,10,10,10,10,0,0,0,1,0,1,0,0.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2214,18233475,100.0,0,23,23,1,0,39.94784,116.37317,0,4,2.0,2,2,595,1,0,3,5,5,5,5,2,1,646.0,70,7,5,9,9,10,7,1,0,0,21,7,14,0,0.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
